name;hr;village;slots;gender;type;rarity;defense;fire;thunder;dragon;water;ice;skill_one;skill_one_points;skill_two;skill_two_points;skill_three;skill_three_points;skill_four;skill_four_points;skill_five;skill_five_points;material_one;amount_one;material_two;amount_two;material_three;amount_three;material_four;amount_four
レザーパンツ;1;1;1;0;0;1;1;0;0;0;0;0;採取;3;;;;;;;;;首鳴竜の皮;2;;;;;;
チェーンパンツ;1;1;0;0;0;1;2;0;1;0;0;0;体力;5;;;;;;;;;鉄鉱石;2;暖かい毛皮;2;;;;
ベルダーグリーヴ;1;1;0;0;0;1;2;0;0;0;1;0;加護;3;;;;;;;;;暖かい毛皮;1;鉄鉱石;2;;;;
ハントグリーヴ;-1;2;2;0;1;1;2;1;0;0;0;0;高速設置;3;;;;;;;;;鉄鉱石;2;ランポスの皮;1;;;;
ハントレギンス;-1;2;2;0;2;1;1;2;0;0;0;0;高速設置;3;;;;;;;;;鉄鉱石;2;ランポスの皮;1;;;;
マフモフブーツ;-1;2;0;0;0;1;2;-1;0;0;0;2;耐寒;4;;;;;;;;;暖かい毛皮;2;ガウシカの角;2;;;;
ユクモノハカマ;-1;2;2;0;0;1;2;0;1;0;0;0;回避性能;2;;;;;;;;;ユクモの木;2;セッチャクロアリ;2;;;;
ロックラックブーツ;1;1;0;0;0;1;2;1;0;2;0;0;運搬;4;耐暑;1;;;;;;;甲虫の大顎;3;モンスターの体液;2;大地の結晶;2;;
ハンターグリーヴ;1;1;2;0;1;1;6;0;0;0;0;0;狩人;1;;;;;;;;;ファンゴの毛皮;1;ジャギィの皮;2;竜骨【小】;2;;
ハンターレギンス;1;1;2;0;2;1;3;0;0;0;0;0;狩人;1;;;;;;;;;ファンゴの毛皮;1;ジャギィの皮;2;竜骨【小】;2;;
ボーングリーヴ;1;1;0;0;1;1;6;0;0;0;0;-1;笛;6;;;;;;;;;竜骨【中】;2;なぞの骨;2;ランポスの皮;1;;
ボーンレギンス;1;1;0;0;2;1;3;0;0;0;0;-1;笛;6;;;;;;;;;竜骨【中】;2;なぞの骨;2;ランポスの皮;1;;
狩人の革臑当;1;2;0;0;1;1;6;0;0;0;1;0;野草知識;5;;;;;;;;;ガウシカの角;1;暖かい毛皮;4;鉄鉱石;1;;
狩人の革長靴;1;2;0;0;2;1;3;0;0;0;1;0;野草知識;5;;;;;;;;;ガウシカの角;1;暖かい毛皮;4;鉄鉱石;1;;
跳狗竜の革臑当;1;1;2;0;1;1;6;0;1;0;0;0;減気攻撃;3;;;;;;;;;マッカォの皮;3;マッカォの鱗;1;鳥竜種の牙;4;;
跳狗竜の革長靴;1;1;2;0;2;1;3;0;1;0;0;0;減気攻撃;3;;;;;;;;;マッカォの皮;3;マッカォの鱗;1;鳥竜種の牙;4;;
狗竜の革臑当;1;1;2;0;1;1;6;0;0;0;0;1;達人;3;;;;;;;;;ジャギィの皮;3;ジャギィの鱗;1;鳥竜種の牙;4;;
狗竜の革長靴;1;1;2;0;2;1;3;0;0;0;0;1;達人;3;;;;;;;;;ジャギィの皮;3;ジャギィの鱗;1;鳥竜種の牙;4;;
ジャギィグリーヴ;1;1;1;0;1;1;6;-2;0;0;0;0;火属性攻撃;2;;;;;;;;;ジャギィの皮;4;ジャギィの鱗;2;竜骨【中】;2;マカライト鉱石;2
ジャギィレギンス;1;1;1;0;2;1;3;-2;0;0;0;0;火属性攻撃;2;;;;;;;;;ジャギィの皮;4;ジャギィの鱗;2;竜骨【中】;2;マカライト鉱石;2
マッカォグリーヴ;1;2;1;0;1;1;8;-2;0;0;0;0;跳躍;2;;;;;;;;;跳狗竜の鱗;3;跳狗竜の赤皮;2;首鳴竜の皮;4;;
マッカォレギンス;1;2;1;0;2;1;4;-2;1;1;1;1;跳躍;1;;;;;;;;;跳狗竜の鱗;3;跳狗竜の赤皮;2;首鳴竜の皮;4;;
ランポスグリーヴ;1;2;2;0;1;1;8;0;0;0;0;-2;気絶;3;麻痺;-3;;;;;;;ランポスの皮;2;ランポスの鱗;3;竜骨【小】;4;鉄鉱石;4
ランポスレギンス;1;2;2;0;2;1;4;0;1;0;1;-2;気絶;2;麻痺;-3;;;;;;;ランポスの皮;2;ランポスの鱗;3;竜骨【小】;4;鉄鉱石;4
ギアノスグリーヴ;1;2;3;0;1;1;8;0;-1;0;0;2;;;;;;;;;;;ギアノスの鱗;2;ギアノスの皮;2;大地の結晶;2;竜骨【小】;2
ギアノスレギンス;1;2;3;0;2;1;4;0;-1;0;0;3;;;;;;;;;;;ギアノスの鱗;2;ギアノスの皮;2;大地の結晶;2;竜骨【小】;2
ゲネポスグリーヴ;1;2;0;0;1;1;10;0;1;0;0;-2;雷属性攻撃;5;;;;;;;;;ゲネポスの大皮;2;ゲネポスの皮;4;鉄鉱石;4;ファンゴの毛皮;2
ゲネポスレギンス;1;2;0;0;2;1;5;1;2;0;0;-2;雷属性攻撃;5;;;;;;;;;ゲネポスの大皮;2;ゲネポスの皮;4;鉄鉱石;4;ファンゴの毛皮;2
ランゴグリーヴ;2;3;2;0;1;1;10;-2;1;2;1;1;特殊攻撃;2;属性攻撃;-1;;;;;;;ランゴスタの羽;2;円盤石;3;モンスターの体液;1;;
ランゴレギンス;2;3;2;0;2;1;5;-2;2;3;2;2;特殊攻撃;1;属性攻撃;-1;;;;;;;ランゴスタの羽;2;円盤石;3;モンスターの体液;1;;
タロスグリーヴ;1;3;1;0;1;1;10;-1;-1;4;-1;-1;龍耐性;3;龍属性攻撃;3;;;;;;;カンタロスの羽;3;カンタロスの甲殻;3;大地の結晶;4;キラビートル;1
タロスレギンス;1;3;1;0;2;1;5;-1;-1;6;-1;-1;龍耐性;3;龍属性攻撃;2;;;;;;;カンタロスの羽;3;カンタロスの甲殻;3;大地の結晶;4;キラビートル;1
ブナハブーツ;1;2;0;0;1;1;10;-2;0;2;0;0;斬れ味;5;火耐性;-3;;;;;;;飛甲虫の甲殻;2;飛甲虫の羽;3;キラビートル;2;セッチャクロアリ;3
ブナハフット;1;2;0;0;2;1;5;-2;1;3;1;1;弾薬節約;5;火耐性;-3;;;;;;;飛甲虫の甲殻;2;飛甲虫の羽;3;キラビートル;2;セッチャクロアリ;3
モスフット;1;1;0;0;0;1;5;0;0;0;0;0;食いしん坊;3;;;;;;;;;モスの苔皮;1;ファンゴの毛皮;2;大猪の皮;1;セッチャクロアリ;1
リノプログリーヴ;1;2;0;0;1;1;12;2;0;0;0;-2;砲術;3;;;;;;;;;草食竜の甲殻;2;竜骨【小】;6;氷結晶;2;;
